 Óbitos por causas externas - Bahia;;;;;
Óbitos por Ocorrência por Município-BA e Grande Grupo CID10;;;;;
Grande Grupo CID10: X60-X84 Lesões autoprovocadas voluntariamente;;;;;
Período:2022;;;;;
Município-BA;CÓDITO DO TI;NOME DO TERRITÓRIO DE IDENTIDADE;Suicídios Geral 0 2022;Suicidios PAF 0 2022;% Suicídios 2022
292390 Pau Brasil;5;Litoral Sul;1;0;0,0%
292805 Santa Luzia;5;Litoral Sul;0;0;#DIV/0!
292935 São José da Vitória;5;Litoral Sul;0;0;#DIV/0!
293220 Ubaitaba;5;Litoral Sul;0;0;#DIV/0!
293250 Una;5;Litoral Sul;0;0;#DIV/0!
293270 Uruçuca;5;Litoral Sul;0;0;#DIV/0!
TOTAL TI;5;Litoral Sul;36;4;11,1%
290230 Aratuípe;6;Baixo Sul;0;0;#DIV/0!
290540 Cairu;6;Baixo Sul;3;0;0,0%
290580 Camamu;6;Baixo Sul;1;0;0,0%
291120 Gandu;6;Baixo Sul;1;0;0,0%
291270 Ibirapitanga;6;Baixo Sul;0;0;#DIV/0!
291345 Igrapiúna;6;Baixo Sul;1;0;0,0%
291730 Ituberá;6;Baixo Sul;1;0;0,0%
291780 Jaguaripe;6;Baixo Sul;0;0;#DIV/0!
292260 Nilo Peçanha;6;Baixo Sul;1;0;0,0%
292467 Piraí do Norte;6;Baixo Sul;0;0;#DIV/0!
292575 Presidente Tancredo Neves;6;Baixo Sul;2;0;0,0%
293120 Taperoá;6;Baixo Sul;0;0;#DIV/0!
293160 Teolândia;6;Baixo Sul;2;0;0,0%
293290 Valença;6;Baixo Sul;9;0;0,0%
293350 Wenceslau Guimarães;6;Baixo Sul;3;0;0,0%
TOTAL TI;6;Baixo Sul;24;0;0,0%
290080 Alcobaça;7;Extremo Sul;1;0;0,0%
290690 Caravelas;7;Extremo Sul;1;0;0,0%
291280 Ibirapuã;7;Extremo Sul;0;0;#DIV/0!
291560 Itamaraju;7;Extremo Sul;3;1;33,3%
291600 Itanhém;7;Extremo Sul;1;0;0,0%
291845 Jucuruçu;7;Extremo Sul;0;0;#DIV/0!
291890 Lajedão;7;Extremo Sul;0;0;#DIV/0!
292110 Medeiros Neto;7;Extremo Sul;0;0;#DIV/0!
292200 Mucuri;7;Extremo Sul;2;1;50,0%
292300 Nova Viçosa;7;Extremo Sul;1;0;0,0%
292550 Prado;7;Extremo Sul;3;0;0,0%
293135 Teixeira de Freitas;7;Extremo Sul;6;0;0,0%
293325 Vereda;7;Extremo Sul;0;0;#DIV/0!
TOTAL TI;7;Extremo Sul;18;2;11,1%
290480 Caatiba;8;Médio Sudoeste da Bahia;0;0;#DIV/0!
291090 Firmino Alves;8;Médio Sudoeste da Bahia;1;0;0,0%
291230 Ibicuí;8;Médio Sudoeste da Bahia;0;0;#DIV/0!
291350 Iguaí;8;Médio Sudoeste da Bahia;1;0;0,0%
291580 Itambé;8;Médio Sudoeste da Bahia;1;0;0,0%
291640 Itapetinga;8;Médio Sudoeste da Bahia;10;0;0,0%
291680 Itarantim;8;Médio Sudoeste da Bahia;1;0;0,0%
291710 Itororó;8;Médio Sudoeste da Bahia;3;0;0,0%
291970 Macarani;8;Médio Sudoeste da Bahia;2;1;50,0%
292000 Maiquinique;8;Médio Sudoeste da Bahia;0;1;#DIV/0!
292270 Nova Canaã;8;Médio Sudoeste da Bahia;1;0;0,0%
292540 Potiraguá;8;Médio Sudoeste da Bahia;1;0;0,0%
292780 Santa Cruz da Vitória;8;Médio Sudoeste da Bahia;0;0;#DIV/0!
TOTAL TI;8;Médio Sudoeste da Bahia;21;2;9,5%
290100 Amargosa;9;Vale do Jiquiriçá;2;1;50,0%
290430 Brejões;9;Vale do Jiquiriçá;0;0;#DIV/0!
290950 Cravolândia;9;Vale do Jiquiriçá;1;0;0,0%
291030 Elísio Medrado;9;Vale do Jiquiriçá;0;0;#DIV/0!
291420 Irajuba;9;Vale do Jiquiriçá;0;0;#DIV/0!
291670 Itaquara;9;Vale do Jiquiriçá;1;0;0,0%
291690 Itiruçu;9;Vale do Jiquiriçá;4;0;0,0%
291760 Jaguaquara;9;Vale do Jiquiriçá;2;0;0,0%
291820 Jiquiriçá;9;Vale do Jiquiriçá;1;0;0,0%
291870 Lafaiete Coutinho;9;Vale do Jiquiriçá;0;0;#DIV/0!
291880 Laje;9;Vale do Jiquiriçá;1;0;0,0%
291905 Lajedo do Tabocal;9;Vale do Jiquiriçá;1;0;0,0%
292050 Maracás;9;Vale do Jiquiriçá;3;0;0,0%
292130 Milagres;9;Vale do Jiquiriçá;0;0;#DIV/0!
292240 Mutuípe;9;Vale do Jiquiriçá;0;0;#DIV/0!
