 Óbitos por causas externas - Bahia;;;;;
Óbitos por Ocorrência por Município-BA e Grande Grupo CID10;;;;;
Grande Grupo CID10: X60-X84 Lesões autoprovocadas voluntariamente;;;;;
Período:2022;;;;;
Município-BA;CÓDITO DO TI;NOME DO TERRITÓRIO DE IDENTIDADE;Suicídios Geral 0 2022;Suicidios PAF 0 2022;% Suicídios 2022
291735 Jaborandi;23;Bacia do Rio Corrente;0;0;#DIV/0!
292810 Santa Maria da Vitória;23;Bacia do Rio Corrente;0;0;#DIV/0!
292820 Santana;23;Bacia do Rio Corrente;3;0;0,0%
292905 São Félix do Coribe;23;Bacia do Rio Corrente;1;0;0,0%
293030 Serra Dourada;23;Bacia do Rio Corrente;4;0;0,0%
293090 Tabocas do Brejo Velho;23;Bacia do Rio Corrente;1;0;0,0%
TOTAL TI;23;Bacia do Rio Corrente;17;0;0,0%
290020 Abaré;24;Itaparica;0;0;#DIV/0!
290770 Chorrochó;24;Itaparica;2;0;0,0%
291140 Glória;24;Itaparica;0;0;#DIV/0!
291990 Macururé;24;Itaparica;0;0;#DIV/0!
292400 Paulo Afonso;24;Itaparica;4;1;25,0%
292710 Rodelas;24;Itaparica;1;0;0,0%
TOTAL TI;24;Itaparica;7;1;14,3%
290135 Andorinha;25;Piemonte Norte do Itapicuru;0;0;#DIV/0!
290180 Antônio Gonçalves;25;Piemonte Norte do Itapicuru;0;0;#DIV/0!
290550 Caldeirão Grande;25;Piemonte Norte do Itapicuru;0;0;#DIV/0!
290600 Campo Formoso;25;Piemonte Norte do Itapicuru;5;1;20,0%
291085 Filadélfia;25;Piemonte Norte do Itapicuru;0;0;#DIV/0!
291770 Jaguarari;25;Piemonte Norte do Itapicuru;3;0;0,0%
292460 Pindobaçu;25;Piemonte Norte do Itapicuru;0;0;#DIV/0!
292525 Ponto Novo;25;Piemonte Norte do Itapicuru;0;0;#DIV/0!
293010 Senhor do Bonfim;25;Piemonte Norte do Itapicuru;9;0;0,0%
TOTAL TI;25;Piemonte Norte do Itapicuru;17;1;5,9%
290570 Camaçari;26;Metropolitano de Salvador;6;2;33,3%
290650 Candeias;26;Metropolitano de Salvador;1;0;0,0%
291005 Dias d'Ávila;26;Metropolitano de Salvador;1;0;0,0%
291610 Itaparica;26;Metropolitano de Salvador;0;0;#DIV/0!
291920 Lauro de Freitas;26;Metropolitano de Salvador;8;1;12,5%
291992 Madre de Deus;26;Metropolitano de Salvador;0;0;#DIV/0!
292100 Mata de São João;26;Metropolitano de Salvador;2;0;0,0%
292520 Pojuca;26;Metropolitano de Salvador;0;0;#DIV/0!
292740 Salvador;26;Metropolitano de Salvador;112;3;2,7%
292920 São Francisco do Conde;26;Metropolitano de Salvador;0;0;#DIV/0!
292950 São Sebastião do Passé;26;Metropolitano de Salvador;0;0;#DIV/0!
293070 Simões Filho;26;Metropolitano de Salvador;3;1;33,3%
293320 Vera Cruz;26;Metropolitano de Salvador;1;1;100,0%
TOTAL TI;26;Metropolitano de Salvador;134;8;6,0%
290340 Belmonte;27;Costa do Descobrimento;1;0;0,0%
291072 Eunápolis;27;Costa do Descobrimento;7;0;0,0%
291180 Guaratinga;27;Costa do Descobrimento;0;0;#DIV/0!
291465 Itabela;27;Costa do Descobrimento;0;0;#DIV/0!
291530 Itagimirim;27;Costa do Descobrimento;0;0;#DIV/0!
291630 Itapebi;27;Costa do Descobrimento;1;0;0,0%
292530 Porto Seguro;27;Costa do Descobrimento;16;0;0,0%
292770 Santa Cruz Cabrália;27;Costa do Descobrimento;1;0;0,0%
TOTAL TI;27;Costa do Descobrimento;26;0;0,0%
290000 Município ignorado - BA;;;0;0;
Total;;;842;51;
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM;;;;;
 Notas:;;;;;
 ;;;;;
   Dados sobre óbitos por causas externas (V01-Y98) de residentes na Bahia, independentemente da UF de ocorrência.;;;;;
"   ""Períodos Disponíveis"" refere-se ao ano de ocorrência do óbito.";;;;;
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram;;;;;
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento;;;;;
" ""Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011"".";;;;;
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.;;;;;
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.;;;;;
   Última atualização realizada em 30/08/2023.;;;;;
 ;;;;;
