; Óbitos por causas externas - Bahia;;;;;
;Óbitos por Ocorrência por Município-BA e Grande Grupo CID10;;;;;
;Grande Grupo CID10: X60-X84 Lesões autoprovocadas voluntariamente;;;;;
;Categoria CID10: X72   Lesao autoprov intenc disp arma fogo de mao, X73   Les autoprov int disp arm fog maior calibre, X74   Lesao autopr intenc disp outr arma fogo e NE;;;;;
;Período:2022;;;;;
;Município-BA;Suicídios PAF_2022;Suicídios PAF_Total_2022;%;CÓDITO DO TI;NOME DO TERRITÓRIO DE IDENTIDADE
290660;Candiba;0;1;0,0%;13;Sertão Produtivo
290670;Cândido Sales;0;0;#DIV/0!;20;Sudoeste Baiano
290680;Cansanção;0;1;0,0%;4;Sisal
290682;Canudos;0;1;0,0%;10;Sertão do São Francisco
290685;Capela do Alto Alegre;0;0;#DIV/0!;15;Bacia do Jacuípe
290687;Capim Grosso;0;3;0,0%;15;Bacia do Jacuípe
290689;Caraíbas;0;0;#DIV/0!;20;Sudoeste Baiano
290690;Caravelas;0;1;0,0%;7;Extremo Sul
290700;Cardeal da Silva;0;0;#DIV/0!;18;Litoral Norte e Agreste Baiano
290710;Carinhanha;0;1;0,0%;2;Velho Chico
290720;Casa Nova;0;3;0,0%;10;Sertão do São Francisco
290730;Castro Alves;0;1;0,0%;21;Recôncavo
290740;Catolândia;0;1;0,0%;11;Bacia do Rio Grande
290750;Catu;0;3;0,0%;18;Litoral Norte e Agreste Baiano
290755;Caturama;0;1;0,0%;12;Bacia do Paramirim
290760;Central;0;2;0,0%;1;Irecê
290770;Chorrochó;0;2;0,0%;24;Itaparica
290780;Cícero Dantas;0;4;0,0%;17;Semiárido Nordeste II
290790;Cipó;0;1;0,0%;17;Semiárido Nordeste II
290800;Coaraci;0;0;#DIV/0!;5;Litoral Sul
290810;Cocos;0;2;0,0%;23;Bacia do Rio Corrente
290820;Conceição da Feira;0;0;#DIV/0!;19;Portal do Sertão
290830;Conceição do Almeida;0;1;0,0%;21;Recôncavo
290840;Conceição do Coité;0;2;0,0%;4;Sisal
290850;Conceição do Jacuípe;0;4;0,0%;19;Portal do Sertão
290860;Conde;0;0;#DIV/0!;18;Litoral Norte e Agreste Baiano
290870;Condeúba;0;1;0,0%;20;Sudoeste Baiano
290880;Contendas do Sincorá;0;0;#DIV/0!;13;Sertão Produtivo
